,year,Capital,Labor,GDP,ln_GDP,ln_Capital,ln_Labor,Export,ln_Export
0,1986,108727.9,1290605,18569292305,23.6447751,11.59660371,14.07062166,27644243443,24.04268335
1,1987,131794.8,1345689,20897630201,23.7629016,11.78900145,14.11241671,34308211629,24.25865057
2,1988,154861.7,1400773,25337226971,23.95554057,11.95028774,14.15253479,46864672365,24.57052997
3,1989,177929.4,1455857,30423573842,24.1384836,12.08914212,14.19110529,54623086861,24.72372247
4,1990,200997.1,1510941,36152027893,24.31099888,12.21104576,14.22824319,64045069989,24.88285289
5,1991,224064.8,1566025,45474442836,24.54041631,12.31969057,14.26405112,76631490593,25.06227393
6,1992,248034.9,1617928,52156414979,24.67751302,12.42132474,14.29665688,84308164518,25.15774455
7,1993,277111.5,1662799,60644572348,24.82829598,12.53217523,14.32401288,97965837356,25.30788466
8,1994,303628.2,1721722,73777792327,25.02432361,12.62355921,14.35883551,1.22469E+11,25.53112377
9,1995,325066.4,1781870,87890009877,25.19935198,12.69178475,14.39317393,1.59276E+11,25.79390438
10,1996,363724.5,1851714,96403758865,25.29181103,12.80415199,14.43162225,1.6974E+11,25.85753369
11,1997,404754.8,1918065,1E+11,25.33007468,12.91103673,14.46682742,1.70185E+11,25.86015192
12,1998,437256.8,1982576,85707636233,25.17420776,12.98827594,14.49990757,1.43642E+11,25.69058993
13,1999,450048.3,2003741,86283126844,25.1808999,13.01711019,14.51052649,1.52882E+11,25.75293222
14,2000,450863.4,2046747,95833932715,25.28588266,13.01891969,14.53176226,1.813E+11,25.92341895
15,2001,461295.3,2117783,89286208629,25.21511287,13.04179368,14.56588034,1.64715E+11,25.82748254
16,2002,474905.8,2121302,91941192896,25.244415,13.07087175,14.56754061,1.70984E+11,25.86483582
17,2003,492729.8,2101501,97001377569,25.29799102,13.10771623,14.55816241,1.99023E+11,26.01668623
18,2004,525353.1,2137276,1.14E+11,25.46112081,13.17182589,14.57504268,2.47128E+11,26.23317226
19,2005,553356.7,2214093,1.27E+11,25.57073886,13.2237581,14.6103534,2.88253E+11,26.3871044
20,2006,588711.2,2314096,1.48E+11,25.71910555,13.28569102,14.65452967,3.40091E+11,26.55247907
21,2007,682842.4,2444612,1.8E+11,25.91611713,13.43401937,14.70939698,3.86534E+11,26.68048567
22,2008,757217.1,2629295,1.92E+11,25.9819376,13.53740528,14.78222631,4.44416E+11,26.8200269
23,2009,801722.4,2725965,1.92E+11,25.98288395,13.59451769,14.81833305,3.69748E+11,26.63608753
24,2010,806894.1,2808385,2.36E+11,26.18888418,13.60094771,14.84812014,4.72246E+11,26.88076587
25,2011,852941.5,2886636,2.76E+11,26.34221275,13.65644624,14.87560237,5.60262E+11,27.05167037
26,2012,913171.1,2994949,2.89E+11,26.39025292,13.72467855,14.91243776,5.70191E+11,27.06923723
27,2013,993001.2,3055070,3.03E+11,26.43538348,13.80848715,14.93231306,5.87366E+11,27.09891397
28,2014,1051006.9,3139939,3.08E+11,26.4538298,13.86525922,14.95971393,5.96047E+11,27.11358536
29,2015,1103836.8,3222374,2.97E+11,26.41646248,13.91430267,14.98562891,5.28176E+11,26.9926954
30,2016,1123318.9,3263578,2.97E+11,26.41691716,13.93179816,14.9983347,5.11239E+11,26.96010303